opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,Moses Frase,Gtx Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0
Z063OYW0,Darcel Schlecht,Gtx Pro,Isdom,Won,2016-10-25,2017-03-11,4514.0
EC4QE1BX,Darcel Schlecht,Mg Special,Cancity,Won,2016-10-25,2017-03-07,50.0
MV1LWRNH,Moses Frase,Gtx Basic,Codehow,Won,2016-10-25,2017-03-09,588.0
PE84CX4O,Zane Levy,Gtx Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0
ZNBS69V1,Anna Snelling,Mg Special,Ron-Tech,Won,2016-10-29,2017-03-01,49.0
9ME3374G,Vicki Laflamme,Mg Special,J-Texon,Won,2016-10-30,2017-03-02,57.0
7GN8Q4LL,Markita Hansen,Gtx Basic,Cheers,Won,2016-11-01,2017-03-07,601.0
OLK9LKZB,Niesha Huffines,Gtx Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0
HAXMC4IX,James Ascencio,Mg Advanced,,Engaging,2016-11-03,,
NL3JZH1Z,Anna Snelling,Mg Special,Bioholding,Won,2016-11-04,2017-03-10,53.0
KWVA7VR1,Gladys Colclough,Gtx Pro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0
S8DX3XOU,James Ascencio,Gtx Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0
ENB2XD8G,Maureen Marcano,Gtx Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0
09YE9QOV,Hayden Neloms,Mg Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0
3F5MZNEH,Rosalina Dieter,Mg Special,Sonron,Lost,2016-11-05,2017-03-03,0.0
M6WEJXC0,Rosalina Dieter,Mg Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0
6PTR7VBR,Versie Hillebrand,Mg Special,Treequote,Won,2016-11-06,2017-03-05,61.0
902REDPA,Daniell Hammack,Gtx Pro,Xx-Zobam,Lost,2016-11-07,2017-03-09,0.0
5J9CMGDV,Elease Gluck,Mg Special,Rantouch,Won,2016-11-07,2017-03-08,46.0
JJXRR8R6,James Ascencio,Gtx Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0
WF4HA5NW,Moses Frase,Mg Special,Ron-Tech,Won,2016-11-07,2017-03-18,50.0
C5K2JP1H,Violet Mclelland,Gtx Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0
ADRB8OMB,Darcel Schlecht,Gtx Basic,Warephase,Won,2016-11-08,2017-03-26,561.0
SBCR987L,Kami Bicknell,Gtx Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0
UP409DSB,Maureen Marcano,Mg Advanced,Ganjaflex,Engaging,2016-11-10,,
JSD4APT2,Versie Hillebrand,Mg Special,Bioholding,Won,2016-11-10,2017-03-12,61.0
AO9Z2D17,Violet Mclelland,Gtx Plus Pro,Xx-Zobam,Lost,2016-11-10,2017-03-11,0.0
5M58DTJK,Elease Gluck,Mg Special,Cheers,Won,2016-11-11,2017-03-05,58.0
KNY1OSAB,Maureen Marcano,Gtx Pro,Labdrill,Won,2016-11-11,2017-03-14,4899.0
EAZDUUM9,Rosie Papadopoulos,Mg Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0
2STUSOFE,Versie Hillebrand,Mg Special,Dambase,Won,2016-11-11,2017-03-03,67.0
JYKM0B00,James Ascencio,Gtx Pro,Xx-Holding,Won,2016-11-12,2017-03-06,4338.0
KU28360J,Kary Hendrixson,Gtx Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0
N4SD17JR,Reed Clapper,Gtx Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0
E67P9Y3Q,Rosalina Dieter,Gtx Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0
AT3MMVIS,Wilburn Farren,Mg Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0
REJ11LRY,Garret Kinder,Gtx Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0
ERV0CAZ7,Versie Hillebrand,Mg Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0
8SOQADK7,Anna Snelling,Mg Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0
TCHFT25B,Darcel Schlecht,Gtx Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0
CZVN09WN,Darcel Schlecht,Gtx Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0
EG7OFLFR,Kami Bicknell,Gtx Basic,,Engaging,2016-11-14,,
30UQWUKB,Marty Freudenburg,Gtx Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0
OLVI7L8M,Cassey Cress,Gtx Pro,,Engaging,2016-11-16,,
97UN20YY,Darcel Schlecht,Mg Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0
JXLERZ9O,Kary Hendrixson,Gtx Basic,Golddex,Won,2016-11-16,2017-03-31,559.0
6ROE69W5,Rosalina Dieter,Gtx Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0
0DFXFKT7,Darcel Schlecht,Gtx Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0
XKMZVSN4,James Ascencio,Gtx Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0
IU8V0BZK,Marty Freudenburg,Gtx Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0
XY42936P,Maureen Marcano,Gtx Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0
XRN54MBM,Niesha Huffines,Gtx Basic,Ron-Tech,Won,2016-11-17,2017-03-05,487.0
2V848WZD,Lajuana Vencill,Mg Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0
ONYNTUCG,Darcel Schlecht,Gtx Pro,Funholding,Lost,2016-11-19,2017-03-17,0.0
HIOHX80Y,Darcel Schlecht,Mg Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0
F5U1ACDD,Kami Bicknell,Gtx Plus Basic,,Engaging,2016-11-19,,
LPKT07PV,Boris Faz,Gtx Pro,Opentech,Won,2016-11-20,2017-03-23,4704.0
WPB2SLIG,Donn Cantrell,Gtx Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0
XUSUEAV7,Elease Gluck,Gtk 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0
ZZY4516R,Hayden Neloms,Mg Advanced,,Engaging,2016-11-20,,
3TYPII47,Kami Bicknell,Gtx Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0
7WAX8Z8O,Lajuana Vencill,Mg Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0
MYDUMR3R,Lajuana Vencill,Gtx Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0
0DRC1U9Q,Maureen Marcano,Gtx Basic,Green-Plus,Engaging,2016-11-20,,
37JFKD4I,Niesha Huffines,Gtx Plus Basic,Dambase,Won,2016-11-20,2017-03-09,1033.0
